transactionDate,paidBy,paidTo,amount,fromCountry,country,purpose,type,bankSender,confidence,proof,proofLink,story
02-26-2010,Egor,James,15000,Kyrgyzstan,Tunisia,Transfer,Bank,Citibank,confirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,Tunis
04-01-2015,Farrukh,Anton,10000,Kyrgyzstan,Russia,Land,Bank,HBSC,confirmed,bank,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,Moscow
01-10-2020,Almaz,Vlad,40000,Kyrgyzstan,China,Land,Bank,Citibank,unconfirmed,electronic,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,Some tag
07-10-2003,Nurislam,Ilya,15898,Kyrgyzstan,United States,Transfer,Bank,Wells Fargo,confirmed,electronic,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,Another tag
02-04-2012,Egor,James,10000,Kyrgyzstan,Argentina,Travel,Bank,Citibank,unconfirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,Football
09-14-2020,Farrukh,Vlad,9990,Kyrgyzstan,United States,Transfer,Bank,Credit Suisse,confirmed,customs,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,New York
02-12-2017,Almaz,James,300500,Kyrgyzstan,Russia,Transfer,Bank,Wells Fargo,confirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,I wish I were a bird
11-17-2020,Nurislam,Anton,79289,Kyrgyzstan,Russia,Textiles,Bank,HBSC,unconfirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,Hello
02-26-2010,Egor,James,15000,Kyrgyzstan,Tunisia,Transfer,Bank,Citibank,confirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,How are you
04-01-2015,Farrukh,Anton,10000,Kyrgyzstan,Russia,Land,Bank,HBSC,confirmed,bank,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,I'm fine. Thank you
01-10-2020,Almaz,Vlad,40000,Kyrgyzstan,China,Land,Bank,Citibank,unconfirmed,electronic,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,Tunis
07-10-2003,Nurislam,Ilya,15898,Kyrgyzstan,United States,Transfer,Bank,Wells Fargo,confirmed,electronic,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,Moscow
02-04-2012,Egor,James,10000,Kyrgyzstan,Argentina,Travel,Bank,Citibank,unconfirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,Some tag
09-14-2020,Farrukh,Vlad,9990,Kyrgyzstan,United States,Transfer,Bank,Credit Suisse,confirmed,customs,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,Another tag
02-12-2017,Almaz,James,300500,Kyrgyzstan,Russia,Transfer,Bank,Wells Fargo,confirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,Football
11-17-2020,Nurislam,Anton,79289,Kyrgyzstan,Russia,Textiles,Bank,HBSC,unconfirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,New York
02-26-2010,Egor,James,15000,Kyrgyzstan,Tunisia,Transfer,Bank,Citibank,confirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,I wish I were a bird
04-01-2015,Farrukh,Anton,10000,Kyrgyzstan,Russia,Land,Bank,HBSC,confirmed,bank,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,Hello
01-10-2020,Almaz,Vlad,40000,Kyrgyzstan,China,Land,Bank,Citibank,unconfirmed,electronic,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,How are you
07-10-2003,Nurislam,Ilya,15898,Kyrgyzstan,United States,Transfer,Bank,Wells Fargo,confirmed,electronic,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,I'm fine. Thank you
02-04-2012,Egor,James,10000,Kyrgyzstan,Argentina,Travel,Bank,Citibank,unconfirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,Tunis
09-14-2020,Farrukh,Vlad,9990,Kyrgyzstan,United States,Transfer,Bank,Credit Suisse,confirmed,customs,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,Moscow
02-12-2017,Almaz,James,300500,Kyrgyzstan,Russia,Transfer,Bank,Wells Fargo,confirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest2.docx?alt=media&token=e170b298-491d-4697-9fc0-f686648ad63e,Some tag
11-17-2020,Nurislam,Anton,79289,Kyrgyzstan,Russia,Textiles,Bank,HBSC,unconfirmed,internal,https://firebasestorage.googleapis.com/v0/b/newagent-b0720.appspot.com/o/transfer-map%2Ftest1.docx?alt=media&token=3ab0c41e-37a2-4e1e-b3b3-39b777f32803,Another tag
